,Date,Visit,Home,V_Odd,H_Odd,OU,Score
285,21/11/26,WAS,OKC,-275,235,209.5,101-99
286,21/11/26,BOS,SA,-180,160,213.5,88-96
287,21/11/26,NO,UTA,650,-1000,218.5,98-97
288,21/11/26,MIL,DEN,-245,205,215.5,120-109
289,21/11/26,POR,GS,200,-240,225.0,103-118
290,21/11/26,SAC,LAL,250,-300,229.0,141-137
291,21/11/27,MIN,PHI,220,-270,218.0,121-120
292,21/11/27,NY,ATL,270,-340,217.0,99-90
293,21/11/27,PHO,BKN,110,-130,226.0,113-107
294,21/11/27,CHA,HOU,-210,175,227.5,143-146
295,21/11/27,MIA,CHI,-105,-115,209.5,107-104
296,21/11/27,ORL,CLE,375,-500,204.5,92-105
297,21/11/27,WAS,DAL,210,-250,213.0,120-114
298,21/11/27,NO,UTA,650,-1000,215.0,105-127
299,21/11/28,GS,LAC,-140,120,215.5,105-90
300,21/11/28,MIL,IND,-135,115,216.5,118-100
301,21/11/28,SAC,MEM,150,-170,223.0,101-128
302,21/11/28,BOS,TOR,-125,105,207.0,109-97
303,21/11/28,DET,LAL,400,-525,214.5,106-110
304,21/11/29,ORL,PHI,750,-1200,205.5,96-101
305,21/11/29,DEN,MIA,130,-150,205.5,120-111
306,21/11/29,OKC,HOU,120,-140,217.5,89-102
307,21/11/29,IND,MIN,150,-170,220.5,98-100
308,21/11/29,CHA,CHI,175,-200,224.5,119-133
309,21/11/29,CLE,DAL,220,-260,210.5,114-96
310,21/11/29,WAS,SA,-155,135,214.5,99-116
311,21/11/29,POR,UTA,240,-280,221.5,107-129
312,21/11/29,NO,LAC,240,-280,210.5,123-104
313,21/11/30,MEM,TOR,130,-150,214.5,98-91
314,21/11/30,NY,BKN,200,-240,215.0,110-112
315,21/11/30,LAL,SAC,-110,-110,224.0,117-92
316,21/11/30,GS,PHO,135,-155,222.5,96-104
317,21/11/30,DET,POR,290,-350,209.5,92-110
318,21/12/01,MIN,WAS,150,-170,217.0,107-115
319,21/12/01,ATL,IND,115,-135,217.5,114-111
320,21/12/01,DEN,ORL,-340,280,208.0,103-108
321,21/12/01,PHI,BOS,135,-155,206.5,87-88
322,21/12/01,CLE,MIA,130,-150,206.5,111-85
323,21/12/01,DAL,NO,-170,150,216.0,139-107
324,21/12/01,HOU,OKC,115,-135,216.5,114-110
325,21/12/01,CHA,MIL,300,-360,230.5,125-127
326,21/12/01,SAC,LAC,205,-245,215.0,124-115
327,21/12/02,CHI,NY,-115,-105,209.5,119-115
328,21/12/02,MIL,TOR,-150,130,216.0,93-97
329,21/12/02,OKC,MEM,340,-430,210.5,79-152
330,21/12/02,DET,PHO,700,-1100,208.0,103-114
331,21/12/02,SA,POR,195,-230,215.5,114-83
332,21/12/03,MIA,IND,190,-220,206.0,113-104
333,21/12/03,CLE,WAS,130,-150,208.5,116-101
334,21/12/03,PHI,ATL,120,-140,216.0,98-96
335,21/12/03,MIN,BKN,340,-410,219.0,105-110
336,21/12/03,ORL,HOU,130,-150,217.5,116-118
337,21/12/03,NO,DAL,250,-300,215.0,107-91
338,21/12/03,BOS,UTA,290,-350,209.5,130-137
339,21/12/03,PHO,GS,250,-300,215.0,96-118
340,21/12/03,LAC,LAL,115,-135,219.0,119-115
341,21/12/04,DEN,NY,120,-140,209.0,113-99
342,21/12/04,CHI,BKN,120,-140,222.0,111-107
343,21/12/04,MIA,MIL,220,-260,211.0,102-124
344,21/12/04,MEM,DAL,-110,-110,215.0,97-90
345,21/12/04,SA,GS,330,-400,219.0,112-107
346,21/12/04,BOS,POR,-105,-115,211.0,145-117
347,21/12/04,LAC,SAC,-125,105,219.0,99-104
348,21/12/05,UTA,CLE,-200,175,213.5,109-108
349,21/12/05,WAS,TOR,100,-120,212.5,90-102
350,21/12/05,CHA,ATL,270,-330,225.5,130-127
351,21/12/05,NO,HOU,-145,125,222.0,108-118
352,21/12/06,PHI,CHA,-300,250,214.0,127-124
353,21/12/06,OKC,DET,135,-155,205.0,114-103
354,21/12/06,WAS,IND,190,-220,211.5,110-116
355,21/12/06,MEM,MIA,185,-215,213.0,105-90
356,21/12/06,DEN,CHI,115,-135,213.5,97-109
357,21/12/06,ATL,MIN,110,-130,221.5,121-110
358,21/12/06,CLE,MIL,300,-360,215.0,104-112
359,21/12/06,SA,PHO,250,-300,215.5,104-108
360,21/12/06,LAC,POR,-200,175,213.0,102-90
361,21/12/06,ORL,GS,950,-1800,217.5,95-126
362,21/12/07,BKN,DAL,-125,105,221.0,102-99
363,21/12/07,NY,SA,-125,105,211.5,121-109
364,21/12/07,BOS,LAL,130,-150,220.5,102-117
365,21/12/08,NY,IND,180,-210,208.0,102-122
366,21/12/08,CHI,CLE,145,-165,212.5,92-115
367,21/12/08,WAS,DET,-200,175,210.5,119-116
368,21/12/08,PHI,CHA,-250,210,216.0,110-106
369,21/12/08,OKC,TOR,265,-320,206.0,110-109
370,21/12/08,MIL,MIA,-260,220,217.5,104-113
371,21/12/08,BKN,HOU,-160,140,223.0,104-114
372,21/12/08,UTA,MIN,-280,240,218.0,136-104
373,21/12/08,DAL,MEM,100,-120,219.0,104-96
374,21/12/08,DEN,NO,-130,110,213.5,120-114
375,21/12/08,ORL,SAC,250,-300,223.0,130-142
376,21/12/08,POR,GS,850,-1500,215.5,94-104
377,21/12/08,BOS,LAC,100,-120,209.0,111-114
378,21/12/09,UTA,PHI,-140,120,216.0,118-96
379,21/12/09,LAL,MEM,-175,155,221.5,95-108
380,21/12/09,DEN,SA,120,-140,216.5,111-123
381,21/12/10,SAC,CHA,-125,105,232.5,123-124
382,21/12/10,DAL,IND,110,-130,213.5,93-106
383,21/12/10,BKN,ATL,110,-130,227.5,113-105
384,21/12/10,NY,TOR,105,-125,207.5,87-90
385,21/12/10,CLE,MIN,-125,105,214.0,123-106
386,21/12/10,MIL,HOU,-420,350,227.5,123-114
387,21/12/10,LAL,OKC,-170,150,217.5,116-95
388,21/12/10,DET,NO,200,-240,211.5,93-109
